,cntry2,value,pty_abbr,notes
1,AT,CPÖ,CPO,
2,AT,die Weißen,Liste Martin,
3,AT,Die Weißen,Liste Martin,
4,AT,Düringer,GILT,
5,AT,FLÖ,FLO,
6,AT,fps,FPS,Free Party Salzburg
7,AT,gilt,GILT,
8,AT,Gilt,GILT,
9,AT,GILT,GILT,
10,AT,gilt!,GILT,
11,AT,"Gültige Stimme, Roland Düringer",GILT,
12,AT,Kommunisten,KPO,
13,AT,kpö,KPO,
14,AT,Kpö,KPO,
15,AT,KPö,KPO,
16,AT,KPÖ,KPO,
17,AT,Kpö plus,KPO,
18,AT,Kpö Plus,KPO,
19,AT,KPÖ plus,KPO,
20,AT,KPÖ Plus,KPO,
21,AT,KPÖ PLUS,KPO,
22,AT,KPÖ Plus/Unabhängige Linke,KPO,
23,AT,kpö+,KPO,
24,AT,KPÖ+,KPO,
25,AT,KPÖPlus,KPO,
26,AT,Liste Dr. Schnell,FPS,Free Party Salzburg
27,AT,Liste Düringer,GILT,
28,AT,Liste Gilt,GILT,
29,AT,Liste Österreich,GILT,
30,AT,Sozialistische Linkspartei,SLP,
31,BE-F,Belgische unie,BUB,Belgische Unie – Union Belge
32,BE-F,BUB,BUB,
33,BE-F,Coalitie SPA GROEN,SP/SPA,
34,BE-F,Mr et ecolo,MR,
35,BE-F,Piraat,piraten,
36,BE-F,piratenpartij,piraten,
37,BE-F,Piratenpartij,piraten,
38,BE-F,Piratenpatrij,piraten,
39,BE-F,pvda,PVDA-PTB,
40,BE-F,Pvda,PVDA-PTB,
41,BE-F,PvdA,PVDA-PTB,
42,BE-F,PVDA,PVDA-PTB,
43,BE-F,R.O.S.S.E.M.,ROSSEM,
44,BE-F,ROEL ( Recht op een leven ),ROEL,
45,BE-F,Rossem,ROSSEM,
46,BE-F,ROSSEM,ROSSEM,
47,BE-W,B.U.B.,BUB,
48,BE-W,Bub,BUB,
49,BE-W,BUB,BUB,
50,BE-W,Debout les Belges,Debout les Belges,
51,BE-W,FN,DNat,
52,BE-W,Front national,DNat,
53,BE-W,LCR dans les listes ptb go,LCR,
54,BE-W,Ligue communiste révolutionnaire (LCR),LCR,
55,BE-W,Mouvement VEGA,VEGA,
56,BE-W,Mouvement VEGA (Futur mvt Demain),VEGA,
57,BE-W,Nation,NATION,
58,BE-W,parti pirate,piraten,
59,BE-W,PVDA,PVDA-PTB,
60,BE-W,R.W.F,RWF,Rassemblement Wallonie France
61,BE-W,Rassemblement R,RWF,Rassemblement Wallonie France
62,BE-W,Rassemblement Wallon,RWF,Rassemblement Wallonie France
63,BE-W,Rassemblement Wallonie france,RWF,Rassemblement Wallonie France
64,BE-W,Rfw,RWF,Rassemblement Wallonie France
65,BE-W,RW,RWF,Rassemblement Wallonie France
66,BE-W,rwf,RWF,Rassemblement Wallonie France
67,BE-W,RWF,RWF,Rassemblement Wallonie France
68,BE-W,Union belge - Belgische unie (BUB),BUB,
69,BE-W,Vivant,Vivant,
70,DE,"•Demokratie in Bewegung (DiB),",DiB,
71,DE,Bayernpartei,BP,
72,DE,Bedingungsloses Grundeinkommen,BGE,
73,DE,BGE,BGE,
74,DE,BGE-Partei,BGE,
75,DE,Bündnis Grundeinkommen,BGE,
76,DE,Bündnis Grundeinkommen/Partei der Humanisten,BGE,
77,DE,Bürgerbewegung,B pro D,
78,DE,Demokratie in Bewegung,DiB,
79,DE,Demokratie In Bewegung,DiB,
80,DE,Demokratie in Bewegung (DiB),DiB,
81,DE,Deutsche Mitte,Pro DM,
82,DE,Deutsche Tierschutzpartei,Tierschutz,
83,DE,DiB,DiB,
84,DE,DIB,DiB,
85,DE,Die Grauen,Grauen,
86,DE,die partei,Partei,
87,DE,die Partei,Partei,
88,DE,die PARTEI,Partei,
89,DE,Die Partei,Partei,
90,DE,Die PARTEI,Partei,
91,DE,DIE PARTEI,Partei,
92,DE,Die Piratenpartei,Piraten,
93,DE,DKP,DKP,Deutsche Kommunistische Partei
94,DE,DM,Pro DM,
95,DE,"Erststimme CDU, Zweitstimme Grüne",B90/Gru,
96,DE,freie wähler,FW,
97,DE,freie Wähler,FW,
98,DE,Freie Wähler,FW,
99,DE,FREIE WÄHLER,FW,
100,DE,Freie Wählergruppe,FW,
101,DE,Freien wähler,FW,
102,DE,Freien Wähler,FW,
103,DE,Kandidat der Partei & 2t stimme die Linke,LINKE,
104,DE,"links (1.), grün (2.)",B90/Gru,
105,DE,Marxistisch leninistische,MLPD,
106,DE,NPD,NPD,
107,DE,ödp,ODP,Ökologisch-Demokratische Partei
108,DE,ÖdP,ODP,
109,DE,ÖDP,ODP,
110,DE,Partei,Partei,
111,DE,piraten,Piraten,
112,DE,PIRATEN,Piraten,
113,DE,"Piraten, unabhängiger Bewerber",Piraten,
114,DE,Piratenpartei,Piraten,
115,DE,piratenparteii,Piraten,
116,DE,SPD und grüne,B90/Gru,
117,DE,Tierschutz,Tierschutz,
118,DE,Tierschutzpartei,Tierschutz,
119,DE,V-Partei,VPartei3,
120,DE,V-Partei³,VPartei3,
121,DE,V3,VPartei3,
122,ES,A la valenciana (Compromís+Podem+ EU),C|AV,
123,ES,"A la Valenciana / Compromís, Podemos, EU",C|AV,
124,ES,A NOVA,EM|GCE,ANOVA–Irmandade Nacionalista
125,ES,Animalista,PACMA,Partido Animalista Contra el Maltrato Animal
126,ES,Anova (En Marea),EM|GCE,
127,ES,anova/enmarea,EM|GCE,
128,ES,B.N.G,BNG,
129,ES,Bloque Nacionalista Galego (BNG),BNG,
130,ES,bng,BNG,
131,ES,Bng,BNG,
132,ES,Catalunya en comu,ECP,
133,ES,catalunya en comu podem,ECP,
134,ES,CDC,CDC|JxCat,
135,ES,Comunistes per Catalunya,PCC,
136,ES,Cup,CUP,Candidatura d'Unitat Popular
137,ES,CUP,CUP,
138,ES,Ecologistas verdes,LVE,Los Verdes Ecologistas (defunct)
139,ES,En comu podem,ECP,
140,ES,En comú podem,ECP,
141,ES,En Comú Podem,ECP,
142,ES,En Comun Podem,ECP,
143,ES,en marea,EM|GCE,
144,ES,En marea,EM|GCE,
145,ES,En Marea,EM|GCE,
146,ES,En Marea - Galiza,EM|GCE,
147,ES,"En primera vuelta no voté, en segunda a Podemos",Podemos,
148,ES,enMarea,EM|GCE,
149,ES,Equo,Equo,Greens
150,ES,EQUO,Equo,
151,ES,Esquerra Republicana PV,IU,Esquerra Unida del País Valencià (part of IU)
152,ES,Esquerra Unida,IU,Esquerra Unida del País Valencià (part of IU)
153,ES,Geroa bai,Geroa bai,
154,ES,Geroa Bai,Geroa bai,
155,ES,Grupo Verde,LV-GV,Los Verdes–Grupo Verde; LV–GV
156,ES,ICV,ICV,"Iniciativa per Catalunya Verds, ICV"
157,ES,izquierda unida,IU,
158,ES,Izquierda unida,IU,
159,ES,Izquierda Unida,IU,
160,ES,JUNTS PER CATALUNYA,CDC|JxCat,
161,ES,Marea,EM|GCE,
162,ES,Mareas,EM|GCE,
163,ES,Mareas (galicia),EM|GCE,
164,ES,Mareas (Galicia),EM|GCE,
165,ES,mes,MES,Més per Mallorca 
166,ES,Mes,MES,
167,ES,MES,MES,
168,ES,Més,MES,
169,ES,MÉS,MES,
170,ES,MES (baleares),MES,
171,ES,MES per Mallorca,MES,
172,ES,Més per Mallorca,MES,
173,ES,MÉS PER MALLORCA,MES,
174,ES,Mes per Menorca,MES,
175,ES,MSR,MSR,"Movimiento Social Republicano, MSR"
176,ES,NC,NC,
177,ES,NOS-BNG,BNG,
178,ES,pacma,PACMA,
179,ES,Pacma,PACMA,
180,ES,PACMA,PACMA,
181,ES,Partido animalista,PACMA,
182,ES,Partido Animalista,PACMA,
183,ES,Partido Comunista de los Pueblos de España (PCPE),PCPE,
184,ES,Partido Libertario,P-LIB,
185,ES,Partido X,Partido X,
186,ES,Pcpe,PCPE,
187,ES,PCPE,PCPE,
188,ES,PCPE partido comunista de los pueblos de España,PCPE,
189,ES,Podemos-Compromís,Podemos,
190,ES,PP al Senado,PP,
191,ES,PREPAL,PREPAL,Partido Regionalista del País Leonés
192,ES,Recortes Cero,Recortes Cero,
193,ES,SaIN,SAIN,Internationalist Solidarity and Self-Management (SAIn)
194,ES,SAIN,SAIN,
195,ES,SAÏN,SAIN,
196,ES,Som Valencians,Som Valencians,
197,ES,Unidos Podemos,Podemos,
198,ES,Unidos Podemos MÉS,Podemos,
199,ES,Unión Progreso y Democracia (UPyD),UPyD,
200,ES,UNITS PODEM MES,Podemos,
201,ES,upyd,UPyD,
202,ES,Upyd,UPyD,
203,ES,UPyD,UPyD,
204,ES,UPYD,UPyD,
205,ES,UPYD (existe y deben incluirlo en las encuestas),UPyD,
206,ES,Verdes,LV-GV,
207,ES,vox,VOX,
208,FR,577 pour la france,TeM,
209,FR,577 pour la France,TeM,
210,FR,Alliance PS-EELV,PS,
211,FR,Alliance Royale,AR,"Alliance Royale, AR"
212,FR,Asselineau,UPR,Union Populaire Républicaine - UPR
213,FR,Asselino,UPR,Union Populaire Républicaine - UPR
214,FR,benoit hamon,Generations,
215,FR,Benoit Hamon,Generations,
216,FR,Candidat membre de LREM mais non investi,LREM,
217,FR,Candidate d'union de gauche hors PS LREM et FI,PS,
218,FR,Comité Jeanne (Jean-Marie Le Pen),Comites Jeanne,
219,FR,corsica libera,Corsica Libera,
220,FR,Ecologistes!,EELV,
221,FR,En marche,LREM,
222,FR,f n,RN,
223,FR,femu a corsica,Femu a Corsica,
224,FR,Femu a corsica,Femu a Corsica,
225,FR,François Fillon,LR,
226,FR,Inseme per a Corsica,Inseme per a Corsica,
227,FR,Jean lasalle,Resistons,
228,FR,Jean Lassalle,Resistons,
229,FR,Jeunes Communistes,MJCF,Mouvement Jeunes communistes de France (MJCF)
230,FR,La France qui ose,La France qui ose,
231,FR,La rem,LREM,
232,FR,Labour party,PT,"Parti travailliste, PT"
233,FR,LASSALE,Resistons,
234,FR,Lassalle,Resistons,
235,FR,Le parti animal,Parti animaliste,
236,FR,Le Parti de la France,PDF,
237,FR,Le Parti de la France (PDF) de Carl Lang,PDF,
238,FR,Mei,MEI,Mouvement écologiste indépendant
239,FR,Mouvement 100%,Mouvement 100,
240,FR,mouvement citoyen,MCC,"Mouvement des Citoyens pour le Changement, MCC"
241,FR,Nouvelle donne,Nouvelle Donne,
242,FR,Nouvelle Donne,Nouvelle Donne,
243,FR,NOUVELLE DONNE,Nouvelle Donne,
244,FR,npa,NPA,
245,FR,Oui la bretagne,UDB,
246,FR,Oui la Bretagne,UDB,
247,FR,parti animaliste,Parti animaliste,
248,FR,Parti animaliste,Parti animaliste,
249,FR,Parti Animaliste,Parti animaliste,
250,FR,Parti animalsite,Parti animaliste,
251,FR,parti de la décroissance,PPLD,Parti pour la décroissance (PPLD)
252,FR,Parti des animaux,Parti animaliste,
253,FR,"Parti des animaux, LR n'ayant aucune chance dans ma circonscription",Parti animaliste,
254,FR,Parti du vote blanc,PVB,Parti du vote blanc (PVB)
255,FR,Parti pirate,Pirate,
256,FR,Parti Pirate,Pirate,
257,FR,parti pour les animaux,Parti animaliste,
258,FR,Pas de candidat D L F,DLF,
259,FR,PCF/FI,PCF,
260,FR,pè a corsica,Pe a Corsica,Pè a Corsica
261,FR,Pè a Corsica,Pe a Corsica,Pè a Corsica
262,FR,Protection Animale,Parti animaliste,
263,FR,Régions et Peuples solidaires,RPS,Régions et Peuples Solidaires 
264,FR,resistons,Resistons,
265,FR,Resistons,Resistons,
266,FR,Résistons,Resistons,
267,FR,Résistons !,Resistons,
268,FR,Solidarité et progrès,SP,
269,FR,Solidarité et Progrès - SP,SP,
270,FR,Solidarité Progrès,SP,
271,FR,Territoires en mouvement,TeM,"Territoires en mouvement, TeM"
272,FR,Udb,UDB,
273,FR,UDB,UDB,Union Démocratique Bretonne
274,FR,Unser land,Unser Land,
275,FR,Unser Land,Unser Land,
276,FR,Unser land (régionalistes),Unser Land,
277,FR,Unser Land R&PS,Unser Land,
278,FR,unserland,Unser Land,
279,FR,Upr,UPR,
280,FR,UPR,UPR,
281,HU,"2017-ben nem szavaztam parlamenti választásokon, mert idén, 2018-ban volt :) Egyébiránt a FIdeszre szavaztam.",Fidesz-KDNP,
282,HU,"2017-ben nem volt választás, 2018-ban az LMP-re szavaztam az országos listán, helyben a leger?sebb ellenzéki, MSZP-s jelöltet támogattam.",LMP,
283,HU,2018 ban volt a választás Fidesz,Fidesz-KDNP,
284,HU,Egyutt,Egyutt,
285,HU,együtt,Egyutt,
286,HU,EGYÜTT,Egyutt,
287,HU,FIDESZ-KDNP koalíció!,Fidesz-KDNP,
288,HU,"fidesz, jobbik",Fidesz-KDNP,
289,HU,Jobbik és LMP,JOBBIK,
290,HU,kétfarkú,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
291,HU,Kétfarkú kutya,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
292,HU,Kétfarkú Kutya,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
293,HU,Kétfarkú kutya párt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
294,HU,Kétfarkú Kutya Párt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
295,HU,Kétfarkú kutya pártra,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
296,HU,"Kétfarkú kutya, Momentum",MKKP,Magyar Kétfarkú Kutya Párt; MKKP
297,HU,Kétfarkú kutyák,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
298,HU,Kétfarkú kutyapárt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
299,HU,Kétfarkú Kutyapárt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
300,HU,kfkp,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
301,HU,KKP,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
302,HU,kutyapárt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
303,HU,Kutyapárt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
304,HU,Magyar Kétfarkú Kutya párt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
305,HU,Magyar Kétfarkú Kutya Párt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
306,HU,Magyar Kétfarkú Kutyapárt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
307,HU,Magyar kétfarkú kutyapárt MKKP,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
308,HU,Miép,MIEP,
309,HU,mkkp,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
310,HU,Mkkp,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
311,HU,MKKP,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
312,HU,MKKP- Magyar Kétfarkú Kutya Párt,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
313,HU,MKKP és 2018-ban volt...,MKKP,Magyar Kétfarkú Kutya Párt; MKKP
314,HU,momentum,Momentum,
315,HU,Momentum,Momentum,
316,HU,MOMENTUM,Momentum,
317,HU,Momentum mozgalom,Momentum,
318,HU,Momentum Mozgalom,Momentum,
319,HU,momnetum,Momentum,
320,HU,MSZ-Párbeszéd,MSZP,
321,HU,MSZP-Parbeszed,MSZP,
